rec_id,obc_timeStamp,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,lfm_netCounts,lfm_posCounts,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gfs_gasFlow,gfs_gasTemp,gfs_netGasVolume,jm3_netjoule,jm3_voltage,jm3_current,sup_VoltageIn,all_energy,message_id,volt_voltage,volt_difference,Lap,Time
745,1688797125.34,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4871.0,4905.0,29.0,0.7982,0.0,,,,555.833,13254.0,-21.0,16068.0,0.890041,504_202307_08_0617_35_0000696,,,2,6.312594444444445
746,1688797125.44,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4873.0,4907.0,29.0,0.7986,0.1967,,,,555.833,13254.0,-20.0,16068.0,0.890441,504_202307_08_0617_35_0000697,,,2,6.312622222222222
747,1688797125.54,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4874.0,4908.0,29.0,0.7987,0.0983,,,,555.833,13254.0,-20.0,16085.0,0.890541,504_202307_08_0617_35_0000698,,,2,6.31265
748,1688797125.64,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4874.0,4908.0,29.0,0.7987,0.0,,,,555.833,13254.0,-21.0,16098.0,0.890541,504_202307_08_0617_35_0000699,,,2,6.312677777777777
749,1688797125.74,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4877.0,4911.0,29.0,0.7992,0.295,,,,555.833,13254.0,-21.0,16077.0,0.891041,504_202307_08_0617_35_0000700,,,2,6.312705555555556
750,1688797125.85,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4877.0,4911.0,29.0,0.7992,0.0,,,,555.833,13254.0,-22.0,16085.0,0.891041,504_202307_08_0617_35_0000701,,,2,6.312736111075555
751,1688797125.95,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4879.0,4913.0,29.0,0.7995,0.1966,,,,555.833,13254.0,-22.0,16098.0,0.891341,504_202307_08_0617_35_0000702,,,2,6.312763888924445
752,1688797126.04,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4879.0,4913.0,29.0,0.7995,0.0,,,,555.833,13255.0,-20.0,16081.0,0.891341,504_202307_08_0617_35_0000703,,,2,6.312788888888889
753,1688797126.14,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4880.0,4914.0,29.0,0.7997,0.0974,,,,555.833,13255.0,-20.0,16068.0,0.891541,504_202307_08_0617_35_0000704,,,2,6.3128166666666665
754,1688797126.25,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4881.0,4915.0,29.0,0.7999,0.0993,,,,555.833,13255.0,-17.0,16068.0,0.891741,504_202307_08_0617_35_0000705,,,2,6.312847222186666
755,1688797126.34,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4881.0,4915.0,29.0,0.7999,0.0,,,,555.833,13255.0,-17.0,16081.0,0.891741,504_202307_08_0617_35_0000706,,,2,6.312872222222222
756,1688797126.44,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4883.0,4917.0,29.0,0.8002,0.1967,,,,555.833,13257.0,-21.0,16098.0,0.892041,504_202307_08_0617_35_0000707,,,2,6.3129
757,1688797126.54,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4883.0,4917.0,29.0,0.8002,0.0,,,,555.833,13257.0,-21.0,16098.0,0.892041,504_202307_08_0617_35_0000708,,,2,6.3129277777777775
758,1688797126.64,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4885.0,4919.0,29.0,0.8005,0.1966,,,,555.833,13256.0,-18.0,16089.0,0.892341,504_202307_08_0617_35_0000709,,,2,6.312955555555555
759,1688797126.74,06.18.45,-8.8958052,116.303242733,1.0,0.9,13.5,4885.0,4919.0,29.0,0.8005,0.0,,,,555.833,13256.0,-18.0,16068.0,0.892341,504_202307_08_0617_35_0000710,,,2,6.312983333333333
760,1688797126.85,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4886.0,4920.0,29.0,0.8007,0.0983,,,,555.833,13257.0,-20.0,16073.0,0.892541,504_202307_08_0617_35_0000711,,,2,6.313013888853333
761,1688797126.94,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4888.0,4922.0,29.0,0.801,0.1947,,,,555.833,13257.0,-20.0,16068.0,0.892841,504_202307_08_0617_35_0000712,,,2,6.313038888888888
762,1688797127.04,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4889.0,4923.0,29.0,0.8012,0.0993,,,,555.833,13256.0,-18.0,16064.0,0.893041,504_202307_08_0617_35_0000713,,,2,6.313066666666667
763,1688797127.14,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4890.0,4924.0,29.0,0.8014,0.0983,,,,555.833,13256.0,-18.0,16089.0,0.893241,504_202307_08_0617_35_0000714,,,2,6.313094444444444
764,1688797127.24,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4891.0,4925.0,29.0,0.8015,0.0983,,,,555.833,13259.0,-17.0,16085.0,0.893341,504_202307_08_0617_35_0000715,,,2,6.313122222222222
765,1688797127.34,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4892.0,4926.0,29.0,0.8017,0.0983,,,,555.833,13259.0,-17.0,16056.0,0.893541,504_202307_08_0617_35_0000716,,,2,6.31315
766,1688797127.44,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4894.0,4928.0,29.0,0.802,0.1967,,,,555.833,13259.0,-20.0,16052.0,0.893841,504_202307_08_0617_35_0000717,,,2,6.313177777777778
767,1688797127.55,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4895.0,4929.0,29.0,0.8022,0.0973,,,,555.833,13259.0,-20.0,16081.0,0.894041,504_202307_08_0617_35_0000718,,,2,6.313208333297777
768,1688797127.65,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4896.0,4930.0,29.0,0.8023,0.0993,,,,555.833,13258.0,-21.0,16060.0,0.894141,504_202307_08_0617_35_0000719,,,2,6.313236111146667
769,1688797127.75,06.18.46,-8.895796017,116.303276317,1.0,0.9,13.2,4897.0,4931.0,29.0,0.8025,0.0974,,,,555.833,13258.0,-21.0,16077.0,0.894341,504_202307_08_0617_35_0000720,,,2,6.313263888924444
770,1688797127.85,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4897.0,4931.0,29.0,0.8025,0.0,,,,555.833,13258.0,-20.0,16073.0,0.894341,504_202307_08_0617_35_0000721,,,2,6.313291666631111
771,1688797127.94,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4898.0,4932.0,29.0,0.8027,0.0983,,,,555.833,13258.0,-20.0,16077.0,0.894541,504_202307_08_0617_35_0000722,,,2,6.313316666666666
772,1688797128.05,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4900.0,4934.0,29.0,0.803,0.1966,,,,555.833,13259.0,-18.0,16098.0,0.894841,504_202307_08_0617_35_0000723,,,2,6.313347222186667
773,1688797128.15,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4900.0,4934.0,29.0,0.803,0.0,,,,555.833,13259.0,-18.0,16098.0,0.894841,504_202307_08_0617_35_0000724,,,2,6.313375000035555
774,1688797128.24,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4902.0,4936.0,29.0,0.8033,0.1986,,,,555.833,13260.0,-21.0,16102.0,0.895141,504_202307_08_0617_35_0000725,,,2,6.3134
775,1688797128.35,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4903.0,4937.0,29.0,0.8035,0.0983,,,,555.833,13260.0,-21.0,16089.0,0.895341,504_202307_08_0617_35_0000726,,,2,6.31343055552
776,1688797128.45,06.18.47,-8.895787767,116.30330495,1.0,0.9,12.9,4904.0,4938.0,29.0,0.8036,0.0974,,,,555.833,13258.0,-22.0,16085.0,0.895441,504_202307_08_0617_35_0000727,,,2,6.313458333368889
